Carry Forward Account,Carry Forward Account,
Final Credit Amount,Final Credit Amount,
Final Payable Amount,Final Payable Amount,
Input VAT Total,Input VAT Total,
Output VAT Total,Output VAT Total,
Previous Credit Brought Forward,Previous Credit Brought Forward,
Quarterly Interest Account,Quarterly Interest Account,
Quarterly Interest Amount,Quarterly Interest Amount,
VAT Credit Account,VAT Credit Account,
VAT Input Account,VAT Input Account,
VAT Output Account,VAT Output Account,
VAT Payable Account,VAT Payable Account,
Actual,Actual,
Actual Months,Actual Months,
Cancelled,Cancelled,
Due Date,Due Date,
Employee Cost Cash Planning,Employee Cost Cash Planning,
Employee Cost Entries,Employee Cost Entries,
Employee Count,Employee Count,
Employer Contributions,Employer Contributions,
Employer Insurance,Employer Insurance,
Enable Include Employee Cost in Cash Planning for company {0}.,Enable Include Employee Cost in Cash Planning for company {0}.,
Estimated,Estimated,
Estimated from last {0} months,Estimated from last {0} months,
Estimated Months,Estimated Months,
F24 Deadline,F24 Deadline,
Gross Pay,Gross Pay,
Include Estimates,Include Estimates,
Install and migrate fab_hr_italy before using Employee Cost Entries cash planning.,Install and migrate fab_hr_italy before using Employee Cost Entries cash planning.,
Planned Gross Pay,Planned Gross Pay,
Planned Total Company Cost,Planned Total Company Cost,
Planning Type,Planning Type,
Reference Month,Reference Month,
Select a Company first.,Select a Company first.,
Set both From Month and To Month.,Set both From Month and To Month.,
Set Employee Cost Source Mode to {0} for company {1}.,Set Employee Cost Source Mode to {0} for company {1}.,
Source Detail,Source Detail,
TFR Accrual,TFR Accrual,
Tax Calendar Events,Tax Calendar Events,
Company Cash Flow Monitor,Company Cash Flow Monitor,
Document Amount,Document Amount,
Document Currency,Document Currency,
Due,Due,
Employee Cost,Employee Cost,
Employee Cost Source Mode {0} is not yet supported in Company Cash Flow Monitor.,Employee Cost Source Mode {0} is not yet supported in Company Cash Flow Monitor.,
Event Date,Event Date,
Event Type,Event Type,
From Date cannot be after To Date.,From Date cannot be after To Date.,
Inflow Amount,Inflow Amount,
Include Employee Cost,Include Employee Cost,
Include Overdue,Include Overdue,
Install and migrate fab_hr_italy before including employee cost in company cash flow.,Install and migrate fab_hr_italy before including employee cost in company cash flow.,
Missing conversion rate for currency {0}.,Missing conversion rate for currency {0}.,
No liquid accounts found.,No liquid accounts found.,
Not set,Not set,
Opening Balance,Opening Balance,
Opening Liquid Balance,Opening Liquid Balance,
Opening liquid balance from {0} account(s).,Opening liquid balance from {0} account(s).,
Outflow Amount,Outflow Amount,
Overdue,Overdue,
Original due date: {0},Original due date: {0},
Party,Party,
Payable Due,Payable Due,
Planned,Planned,
Planned Inflows,Planned Inflows,
Planned Outflows,Planned Outflows,
Projected Balance,Projected Balance,
Projected Closing Balance,Projected Closing Balance,
Receivable Due,Receivable Due,
Reference DocType,Reference DocType,
Reference Name,Reference Name,
Settled,Settled,
Set both From Date and To Date.,Set both From Date and To Date.,
VAT Payment,VAT Payment,
VAT Settlement,VAT Settlement,
Manual Tax Deadline,Manual Tax Deadline,
